"Step","cou_cyl_s_NB_12_NF_4_seed_07 - neg_log_likel_test","cou_cyl_s_NB_12_NF_4_seed_07 - neg_log_likel_test__MIN","cou_cyl_s_NB_12_NF_4_seed_07 - neg_log_likel_test__MAX","cou_cyl_m_NC_8_NF_4_seed_07 - neg_log_likel_test","cou_cyl_m_NC_8_NF_4_seed_07 - neg_log_likel_test__MIN","cou_cyl_m_NC_8_NF_4_seed_07 - neg_log_likel_test__MAX","cou_s_NB_12_NF_4_seed_07 - neg_log_likel_test","cou_s_NB_12_NF_4_seed_07 - neg_log_likel_test__MIN","cou_s_NB_12_NF_4_seed_07 - neg_log_likel_test__MAX","cou_m_NC_8_NF_4_seed_07 - neg_log_likel_test","cou_m_NC_8_NF_4_seed_07 - neg_log_likel_test__MIN","cou_m_NC_8_NF_4_seed_07 - neg_log_likel_test__MAX","cou_cyl_s_NB_12_NF_4_seed_24 - neg_log_likel_test","cou_cyl_s_NB_12_NF_4_seed_24 - neg_log_likel_test__MIN","cou_cyl_s_NB_12_NF_4_seed_24 - neg_log_likel_test__MAX","cou_cyl_m_NC_8_NF_4_seed_24 - neg_log_likel_test","cou_cyl_m_NC_8_NF_4_seed_24 - neg_log_likel_test__MIN","cou_cyl_m_NC_8_NF_4_seed_24 - neg_log_likel_test__MAX","cou_s_NB_12_NF_4_seed_24 - neg_log_likel_test","cou_s_NB_12_NF_4_seed_24 - neg_log_likel_test__MIN","cou_s_NB_12_NF_4_seed_24 - neg_log_likel_test__MAX","cou_m_NC_8_NF_4_seed_24 - neg_log_likel_test","cou_m_NC_8_NF_4_seed_24 - neg_log_likel_test__MIN","cou_m_NC_8_NF_4_seed_24 - neg_log_likel_test__MAX","cou_cyl_s_NB_12_NF_4_seed_42 - neg_log_likel_test","cou_cyl_s_NB_12_NF_4_seed_42 - neg_log_likel_test__MIN","cou_cyl_s_NB_12_NF_4_seed_42 - neg_log_likel_test__MAX","cou_cyl_m_NC_8_NF_4_seed_42 - neg_log_likel_test","cou_cyl_m_NC_8_NF_4_seed_42 - neg_log_likel_test__MIN","cou_cyl_m_NC_8_NF_4_seed_42 - neg_log_likel_test__MAX"
"20","-41.04059982299805","-41.04059982299805","-41.04059982299805","-41.036678314208984","-41.036678314208984","-41.036678314208984","-41.00004196166992","-41.00004196166992","-41.00004196166992","-41.026947021484375","-41.026947021484375","-41.026947021484375","-41.08531188964844","-41.08531188964844","-41.08531188964844","-41.086517333984375","-41.086517333984375","-41.086517333984375","-41.056209564208984","-41.056209564208984","-41.056209564208984","-41.09229278564453","-41.09229278564453","-41.09229278564453","-41.137184143066406","-41.137184143066406","-41.137184143066406","-41.14564514160156","-41.14564514160156","-41.14564514160156"
"21","-41.03365707397461","-41.03365707397461","-41.03365707397461","-41.03852844238281","-41.03852844238281","-41.03852844238281","-40.99965286254883","-40.99965286254883","-40.99965286254883","-41.03261947631836","-41.03261947631836","-41.03261947631836","-41.08670425415039","-41.08670425415039","-41.08670425415039","-41.08544921875","-41.08544921875","-41.08544921875","-41.053955078125","-41.053955078125","-41.053955078125","-41.0916748046875","-41.0916748046875","-41.0916748046875","-41.14515686035156","-41.14515686035156","-41.14515686035156","-41.14599609375","-41.14599609375","-41.14599609375"
"22","-41.035179138183594","-41.035179138183594","-41.035179138183594","-41.03609848022461","-41.03609848022461","-41.03609848022461","-41.00275802612305","-41.00275802612305","-41.00275802612305","-41.03614044189453","-41.03614044189453","-41.03614044189453","-41.083168029785156","-41.083168029785156","-41.083168029785156","-41.087398529052734","-41.087398529052734","-41.087398529052734","-41.058189392089844","-41.058189392089844","-41.058189392089844","-41.09268569946289","-41.09268569946289","-41.09268569946289","-41.143646240234375","-41.143646240234375","-41.143646240234375","-41.14767837524414","-41.14767837524414","-41.14767837524414"
"23","-41.03816223144531","-41.03816223144531","-41.03816223144531","-41.04035186767578","-41.04035186767578","-41.04035186767578","-40.99497985839844","-40.99497985839844","-40.99497985839844","-41.03908920288086","-41.03908920288086","-41.03908920288086","-41.085941314697266","-41.085941314697266","-41.085941314697266","-41.093544006347656","-41.093544006347656","-41.093544006347656","-41.062110900878906","-41.062110900878906","-41.062110900878906","-41.09266662597656","-41.09266662597656","-41.09266662597656","-41.14305877685547","-41.14305877685547","-41.14305877685547","-41.14816665649414","-41.14816665649414","-41.14816665649414"
"24","-41.041839599609375","-41.041839599609375","-41.041839599609375","-41.04311752319336","-41.04311752319336","-41.04311752319336","-41.004066467285156","-41.004066467285156","-41.004066467285156","-41.03573226928711","-41.03573226928711","-41.03573226928711","-41.08720016479492","-41.08720016479492","-41.08720016479492","-41.08732604980469","-41.08732604980469","-41.08732604980469","-41.058834075927734","-41.058834075927734","-41.058834075927734","-41.093929290771484","-41.093929290771484","-41.093929290771484","-41.14944839477539","-41.14944839477539","-41.14944839477539","-41.148681640625","-41.148681640625","-41.148681640625"
"25","-41.040122985839844","-41.040122985839844","-41.040122985839844","-41.03650665283203","-41.03650665283203","-41.03650665283203","-41.002235412597656","-41.002235412597656","-41.002235412597656","-41.03361892700195","-41.03361892700195","-41.03361892700195","-41.08974838256836","-41.08974838256836","-41.08974838256836","-41.08937454223633","-41.08937454223633","-41.08937454223633","-41.05495834350586","-41.05495834350586","-41.05495834350586","-41.09191131591797","-41.09191131591797","-41.09191131591797","-41.1402587890625","-41.1402587890625","-41.1402587890625","-41.1500358581543","-41.1500358581543","-41.1500358581543"
"26","-41.038543701171875","-41.038543701171875","-41.038543701171875","-41.038944244384766","-41.038944244384766","-41.038944244384766","-41.006290435791016","-41.006290435791016","-41.006290435791016","-41.03640365600586","-41.03640365600586","-41.03640365600586","-41.08656692504883","-41.08656692504883","-41.08656692504883","-41.0947380065918","-41.0947380065918","-41.0947380065918","-41.05678176879883","-41.05678176879883","-41.05678176879883","-41.08951950073242","-41.08951950073242","-41.08951950073242","-41.14361572265625","-41.14361572265625","-41.14361572265625","-41.150142669677734","-41.150142669677734","-41.150142669677734"
"27","-41.03943634033203","-41.03943634033203","-41.03943634033203","-41.0352897644043","-41.0352897644043","-41.0352897644043","-41.00361633300781","-41.00361633300781","-41.00361633300781","-41.042572021484375","-41.042572021484375","-41.042572021484375","-41.08918380737305","-41.08918380737305","-41.08918380737305","-41.0942497253418","-41.0942497253418","-41.0942497253418","-41.05885696411133","-41.05885696411133","-41.05885696411133","-41.09978103637695","-41.09978103637695","-41.09978103637695","-41.149662017822266","-41.149662017822266","-41.149662017822266","-41.1551628112793","-41.1551628112793","-41.1551628112793"
"28","-41.04197311401367","-41.04197311401367","-41.04197311401367","-41.039608001708984","-41.039608001708984","-41.039608001708984","-41.009525299072266","-41.009525299072266","-41.009525299072266","-41.03856658935547","-41.03856658935547","-41.03856658935547","-41.09206771850586","-41.09206771850586","-41.09206771850586","-41.09313201904297","-41.09313201904297","-41.09313201904297","-41.06613540649414","-41.06613540649414","-41.06613540649414","-41.091129302978516","-41.091129302978516","-41.091129302978516","-41.14979934692383","-41.14979934692383","-41.14979934692383","-41.14616775512695","-41.14616775512695","-41.14616775512695"
"29","-41.04065704345703","-41.04065704345703","-41.04065704345703","-41.0366096496582","-41.0366096496582","-41.0366096496582","-41.00657653808594","-41.00657653808594","-41.00657653808594","-41.037967681884766","-41.037967681884766","-41.037967681884766","-41.09476089477539","-41.09476089477539","-41.09476089477539","-41.094661712646484","-41.094661712646484","-41.094661712646484","-41.06930923461914","-41.06930923461914","-41.06930923461914","-41.09465789794922","-41.09465789794922","-41.09465789794922","-41.144779205322266","-41.144779205322266","-41.144779205322266","-41.14829635620117","-41.14829635620117","-41.14829635620117"
"30","-41.03834533691406","-41.03834533691406","-41.03834533691406","-41.03719711303711","-41.03719711303711","-41.03719711303711","-41.01026916503906","-41.01026916503906","-41.01026916503906","-41.03711700439453","-41.03711700439453","-41.03711700439453","-41.09093475341797","-41.09093475341797","-41.09093475341797","-41.0919303894043","-41.0919303894043","-41.0919303894043","-41.064598083496094","-41.064598083496094","-41.064598083496094","-41.09595489501953","-41.09595489501953","-41.09595489501953","-41.146446228027344","-41.146446228027344","-41.146446228027344","-41.1505241394043","-41.1505241394043","-41.1505241394043"
"31","-41.036048889160156","-41.036048889160156","-41.036048889160156","-41.03657913208008","-41.03657913208008","-41.03657913208008","-41.0131721496582","-41.0131721496582","-41.0131721496582","-41.04319763183594","-41.04319763183594","-41.04319763183594","-41.08747100830078","-41.08747100830078","-41.08747100830078","-41.093082427978516","-41.093082427978516","-41.093082427978516","-41.06699752807617","-41.06699752807617","-41.06699752807617","-41.09452819824219","-41.09452819824219","-41.09452819824219","-41.14340591430664","-41.14340591430664","-41.14340591430664","-41.151336669921875","-41.151336669921875","-41.151336669921875"
"32","-41.041534423828125","-41.041534423828125","-41.041534423828125","-41.03769302368164","-41.03769302368164","-41.03769302368164","-41.009925842285156","-41.009925842285156","-41.009925842285156","-41.042266845703125","-41.042266845703125","-41.042266845703125","-41.09194564819336","-41.09194564819336","-41.09194564819336","-41.0936164855957","-41.0936164855957","-41.0936164855957","-41.066383361816406","-41.066383361816406","-41.066383361816406","-41.10359573364258","-41.10359573364258","-41.10359573364258","-41.13920593261719","-41.13920593261719","-41.13920593261719","-41.14731216430664","-41.14731216430664","-41.14731216430664"
"33","-41.04033660888672","-41.04033660888672","-41.04033660888672","-41.039791107177734","-41.039791107177734","-41.039791107177734","-41.010475158691406","-41.010475158691406","-41.010475158691406","-41.04288864135742","-41.04288864135742","-41.04288864135742","-41.08808517456055","-41.08808517456055","-41.08808517456055","-41.09493637084961","-41.09493637084961","-41.09493637084961","-41.0659294128418","-41.0659294128418","-41.0659294128418","-41.10613250732422","-41.10613250732422","-41.10613250732422","-41.148372650146484","-41.148372650146484","-41.148372650146484","-41.15143585205078","-41.15143585205078","-41.15143585205078"
"34","-41.04581069946289","-41.04581069946289","-41.04581069946289","-41.03742599487305","-41.03742599487305","-41.03742599487305","-41.01493835449219","-41.01493835449219","-41.01493835449219","-41.036197662353516","-41.036197662353516","-41.036197662353516","-41.096435546875","-41.096435546875","-41.096435546875","-41.09522247314453","-41.09522247314453","-41.09522247314453","-41.06285858154297","-41.06285858154297","-41.06285858154297","-41.10294723510742","-41.10294723510742","-41.10294723510742","-41.15230941772461","-41.15230941772461","-41.15230941772461","-41.1560173034668","-41.1560173034668","-41.1560173034668"
"35","-41.04152297973633","-41.04152297973633","-41.04152297973633","-41.04008102416992","-41.04008102416992","-41.04008102416992","-41.015907287597656","-41.015907287597656","-41.015907287597656","-41.03925323486328","-41.03925323486328","-41.03925323486328","-41.08845901489258","-41.08845901489258","-41.08845901489258","-41.092369079589844","-41.092369079589844","-41.092369079589844","-41.061180114746094","-41.061180114746094","-41.061180114746094","-41.097049713134766","-41.097049713134766","-41.097049713134766","-41.15311050415039","-41.15311050415039","-41.15311050415039","-41.151702880859375","-41.151702880859375","-41.151702880859375"
"36","-41.0404052734375","-41.0404052734375","-41.0404052734375","-41.04119110107422","-41.04119110107422","-41.04119110107422","-41.01186752319336","-41.01186752319336","-41.01186752319336","-41.04142379760742","-41.04142379760742","-41.04142379760742","-41.09618377685547","-41.09618377685547","-41.09618377685547","-41.09723663330078","-41.09723663330078","-41.09723663330078","-41.06972885131836","-41.06972885131836","-41.06972885131836","-41.10050582885742","-41.10050582885742","-41.10050582885742","-41.145904541015625","-41.145904541015625","-41.145904541015625","-41.14693069458008","-41.14693069458008","-41.14693069458008"
"37","-41.039241790771484","-41.039241790771484","-41.039241790771484","-41.03985595703125","-41.03985595703125","-41.03985595703125","-41.01131820678711","-41.01131820678711","-41.01131820678711","-41.041259765625","-41.041259765625","-41.041259765625","-41.091617584228516","-41.091617584228516","-41.091617584228516","-41.09617233276367","-41.09617233276367","-41.09617233276367","-41.06721878051758","-41.06721878051758","-41.06721878051758","-41.09906005859375","-41.09906005859375","-41.09906005859375","-41.14712905883789","-41.14712905883789","-41.14712905883789","-41.14883041381836","-41.14883041381836","-41.14883041381836"
"38","-41.04092788696289","-41.04092788696289","-41.04092788696289","-41.04002380371094","-41.04002380371094","-41.04002380371094","-41.014015197753906","-41.014015197753906","-41.014015197753906","-41.04176712036133","-41.04176712036133","-41.04176712036133","-41.09341049194336","-41.09341049194336","-41.09341049194336","-41.096527099609375","-41.096527099609375","-41.096527099609375","-41.076087951660156","-41.076087951660156","-41.076087951660156","-41.105323791503906","-41.105323791503906","-41.105323791503906","-41.1437873840332","-41.1437873840332","-41.1437873840332","-41.15115737915039","-41.15115737915039","-41.15115737915039"
